text,true,char_len,word_len,avg_word_len,unique_ratio,exclaim_count,question_count,consecutive_punct,ellipsis,mention_count,hashtag_count,url_count,caps_ratio,has_urgency_kw,has_negative_word,has_money_term,has_time_pressure,vader_neg,vader_neu,vader_pos,vader_compound,model_proba,model_pred,correct
my account got drained overnight and I have screenshots of transactions I did not authorize,1,91.0,15.0,6.066666666666666,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.152,0.848,0.0,-0.3612,0.0,0,0
"logged in this morning and everything is gone — all my data, all my projects",1,76.0,15.0,5.066666666666666,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
the device caught fire while charging and my kitchen is damaged,1,63.0,11.0,5.7272727272727275,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.371,0.629,0.0,-0.6486,0.0,0,0
three separate charges on my card this morning for transactions I never made,1,76.0,13.0,5.846153846153846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.149,0.851,0.0,-0.2732,0.0,0,0
locked out of my account for 6 hours and cannot reach anyone,1,60.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.089,0.911,0.0,-0.0191,0.01,0,0
my flight leaves in 45 minutes and the app is frozen on the boarding pass screen,1,80.0,16.0,5.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
prescription did not arrive and I need it by tomorrow for a medical procedure,1,77.0,14.0,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
the driver dropped my package in the rain and the contents are destroyed,1,72.0,13.0,5.538461538461538,0.8461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211,0.789,0.0,-0.4939,0.0,0,0
"just wanted to say your refund process was smooth and painless, thanks so much!",0,79.0,14.0,5.642857142857143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.69,0.31,0.6588,0.0,0,1
"no complaints, cancel my subscription whenever you get a moment please",0,70.0,11.0,6.363636363636363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.56,0.44,0.6483,1.0,1,0
"hi there, the broken link on your homepage is fixed now, just letting you know",0,78.0,15.0,5.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.181,0.819,0.0,-0.4767,0.004,0,1
"was going to ask about a refund but found the info in the FAQ, all good",0,71.0,16.0,4.4375,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,1.0,0.0,0.0,0.0,0.0,0.796,0.204,0.5927,0.0,0,1
loving the new app update! the old version felt broken but this one is great,0,76.0,15.0,5.066666666666666,0.9333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.091,0.535,0.374,0.8096,0.0,0,1
Q: is there a way to cancel auto-renewal without calling? (not urgent),0,70.0,12.0,5.833333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,1.0,0.0,0.0,0.0,0.149,0.744,0.107,-0.1436,0.947,0,1
GREAT SERVICE,0,13.0,2.0,6.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.196,0.804,0.6249,0.0,0,1
yeah… sure… thanks…,0,19.0,3.0,6.333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1
"update: resolved, thanks",0,24.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179,0.821,0.5574,0.0,0,1
still no response from your team after 5 days,1,45.0,9.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.216,0.784,0.0,-0.296,0.0,0,0
